train_number,train_type,run_date,month,day_of_week,station_code,station_index,km_from_origin,scheduled_arrival_hour,weather_condition,is_monsoon,congestion_level,block_section_occupancy,preceding_train_delayed,trains_queued_in_section,cumulative_delay_minutes,previous_station_delay,stop_duration,num_remaining_stops,actual_delay_minutes
19785,Intercity,2026-11-01,11,0,LNL,5,327,11,clear,False,0.1,2,1,0,80.2,31.5,4,5,37.8
19785,Intercity,2026-11-01,11,0,KJT,6,355,11,clear,False,0.27,2,1,1,118.0,37.8,4,4,44.6
19785,Intercity,2026-11-01,11,0,KYN,7,401,12,clear,False,0.49,0,1,0,162.6,44.6,4,3,54.6
19785,Intercity,2026-11-01,11,0,TNA,8,421,12,clear,False,0.31,1,1,0,217.2,54.6,4,2,52.4
19785,Intercity,2026-11-01,11,0,DR,9,446,12,clear,False,0.25,1,1,0,269.6,52.4,4,1,57.8
19785,Intercity,2026-11-01,11,0,CSMT,10,455,12,clear,False,0.24,3,1,0,327.4,57.8,0,0,63.9
11916,Express,2026-11-01,11,0,CSMT,0,0,9,clear,False,0.0,1,1,0,0.0,0.0,0,8,0.0
11916,Express,2026-11-01,11,0,DR,1,9,9,clear,False,0.56,1,0,0,0.0,0.0,4,7,3.3
11916,Express,2026-11-01,11,0,TNA,2,34,9,clear,False,0.45,0,0,0,3.3,3.3,4,6,10.6
11916,Express,2026-11-01,11,0,KYN,3,54,9,clear,False,0.69,3,0,0,13.9,10.6,4,5,33.0
11916,Express,2026-11-01,11,0,LNL,4,128,10,clear,False,0.47,0,1,0,46.9,33.0,4,4,42.5
11916,Express,2026-11-01,11,0,PUNE,5,192,11,clear,False,0.73,1,1,0,89.4,42.5,4,3,49.8
11916,Express,2026-11-01,11,0,MRJ,6,471,15,clear,False,0.5,1,1,0,139.2,49.8,4,2,51.8
11916,Express,2026-11-01,11,0,SLI,7,478,15,clear,False,0.8,1,1,0,191.0,51.8,4,1,61.3
11916,Express,2026-11-01,11,0,KOP,8,518,15,clear,False,0.42,0,1,0,252.3,61.3,0,0,61.3
12796,Vande Bharat,2026-11-01,11,0,KOP,0,0,7,clear,False,0.0,2,0,0,0.0,0.0,0,8,0.0
12796,Vande Bharat,2026-11-01,11,0,SLI,1,40,8,clear,False,0.76,1,0,0,0.0,0.0,2,7,10.6
12796,Vande Bharat,2026-11-01,11,0,MRJ,2,47,8,clear,False,0.7,1,0,0,10.6,10.6,2,6,18.3
12796,Vande Bharat,2026-11-01,11,0,PUNE,3,326,11,clear,False,0.51,2,1,2,28.9,18.3,2,5,32.5
12796,Vande Bharat,2026-11-01,11,0,LNL,4,390,12,clear,False,0.55,2,1,0,61.4,32.5,2,4,34.9
12796,Vande Bharat,2026-11-01,11,0,KYN,5,464,13,clear,False,0.4,1,1,0,96.3,34.9,2,3,40.4
12796,Vande Bharat,2026-11-01,11,0,TNA,6,484,13,clear,False,0.59,0,1,0,136.7,40.4,2,2,40.2
12796,Vande Bharat,2026-11-01,11,0,DR,7,509,14,clear,False,0.46,2,1,1,176.9,40.2,2,1,49.7
12796,Vande Bharat,2026-11-01,11,0,CSMT,8,518,14,clear,False,0.33,1,1,0,226.6,49.7,0,0,51.4
21468,Express,2026-11-01,11,0,CSMT,0,0,14,clear,False,0.0,1,1,0,0.0,0.0,0,15,0.0
21468,Express,2026-11-01,11,0,DR,1,9,14,clear,False,0.54,3,0,0,0.0,0.0,4,14,12.2
21468,Express,2026-11-01,11,0,TNA,2,34,14,clear,False,0.66,1,1,0,12.2,12.2,4,13,16.2
21468,Express,2026-11-01,11,0,KYN,3,54,14,clear,False,0.33,1,1,0,28.4,16.2,4,12,20.7
21468,Express,2026-11-01,11,0,IGP,4,137,15,clear,False,0.2,2,1,0,49.1,20.7,4,11,23.9
21468,Express,2026-11-01,11,0,NK,5,188,16,clear,False,0.51,1,1,0,73.0,23.9,4,10,28.9
21468,Express,2026-11-01,11,0,MMR,6,261,17,clear,False,0.41,2,1,3,101.9,28.9,4,9,43.5
21468,Express,2026-11-01,11,0,CSN,7,328,18,clear,False,0.35,1,1,0,145.4,43.5,4,8,46.7
21468,Express,2026-11-01,11,0,JL,8,420,19,clear,False,0.46,2,1,0,192.1,46.7,4,7,54.0
21468,Express,2026-11-01,11,0,BSL,9,444,19,clear,False,0.25,1,1,0,246.1,54.0,4,6,59.2
21468,Express,2026-11-01,11,0,MKU,10,494,20,clear,False,0.36,4,1,1,305.3,59.2,4,5,72.7
21468,Express,2026-11-01,11,0,AK,11,583,21,clear,False,0.68,2,1,0,378.0,72.7,4,4,74.1
21468,Express,2026-11-01,11,0,BD,12,662,22,clear,False,0.46,2,1,2,452.1,74.1,4,3,80.3
21468,Express,2026-11-01,11,0,WR,13,757,23,clear,False,0.25,1,1,0,532.4,80.3,4,2,78.1
21468,Express,2026-11-01,11,0,NGP,14,837,0,clear,False,0.26,0,1,0,610.5,78.1,4,1,78.8
21468,Express,2026-11-01,11,0,G,15,967,2,clear,False,0.25,1,1,0,689.3,78.8,0,0,76.0
12163,Vande Bharat,2026-11-01,11,0,G,0,0,17,clear,False,0.0,3,0,0,0.0,0.0,0,15,0.0
12163,Vande Bharat,2026-11-01,11,0,NGP,1,130,19,clear,False,0.7,2,1,0,0.0,0.0,2,14,13.1
12163,Vande Bharat,2026-11-01,11,0,WR,2,210,20,clear,False,0.36,3,0,0,13.1,13.1,2,13,38.1
12163,Vande Bharat,2026-11-01,11,0,BD,3,305,21,clear,False,0.21,2,1,0,51.2,38.1,2,12,47.3
12163,Vande Bharat,2026-11-01,11,0,AK,4,384,22,clear,False,0.5,0,1,0,98.5,47.3,2,11,52.3
12163,Vande Bharat,2026-11-01,11,0,MKU,5,473,23,clear,False,0.07,1,1,0,150.8,52.3,2,10,51.1
12163,Vande Bharat,2026-11-01,11,0,BSL,6,523,0,clear,False,0.46,2,1,3,201.9,51.1,2,9,57.4
12163,Vande Bharat,2026-11-01,11,0,JL,7,547,0,clear,False,0.22,0,1,0,259.3,57.4,2,8,55.0
12163,Vande Bharat,2026-11-01,11,0,CSN,8,639,1,clear,False,0.25,1,1,0,314.3,55.0,2,7,58.7
12163,Vande Bharat,2026-11-01,11,0,MMR,9,706,2,clear,False,0.2,0,1,0,373.0,58.7,2,6,58.3
12163,Vande Bharat,2026-11-01,11,0,NK,10,779,3,clear,False,0.53,1,1,0,431.3,58.3,2,5,61.2
12163,Vande Bharat,2026-11-01,11,0,IGP,11,830,4,clear,False,0.44,1,1,0,492.5,61.2,2,4,64.4
12163,Vande Bharat,2026-11-01,11,0,KYN,12,913,5,clear,False,0.71,3,1,2,556.9,64.4,2,3,83.0
12163,Vande Bharat,2026-11-01,11,0,TNA,13,933,5,clear,False,0.45,1,1,0,639.9,83.0,2,2,86.4
12163,Vande Bharat,2026-11-01,11,0,DR,14,958,5,clear,False,0.63,4,1,3,726.3,86.4,2,1,88.4
12163,Vande Bharat,2026-11-01,11,0,CSMT,15,967,5,clear,False,0.15,3,1,0,814.7,88.4,0,0,90.6
18886,Intercity,2026-11-01,11,0,CSMT,0,0,8,clear,False,0.0,0,0,0,0.0,0.0,0,9,0.0
18886,Intercity,2026-11-01,11,0,DR,1,9,8,clear,False,0.49,1,0,0,0.0,0.0,4,8,3.6
18886,Intercity,2026-11-01,11,0,TNA,2,34,9,clear,False,0.96,1,0,0,3.6,3.6,4,7,11.7
18886,Intercity,2026-11-01,11,0,KYN,3,54,9,clear,False,0.77,4,0,0,15.3,11.7,4,6,21.2
18886,Intercity,2026-11-01,11,0,IGP,4,137,10,clear,False,0.85,2,1,0,36.5,21.2,4,5,42.5
18886,Intercity,2026-11-01,11,0,NK,5,188,11,clear,False,1.0,4,1,0,79.0,42.5,4,4,63.1
18886,Intercity,2026-11-01,11,0,MMR,6,261,12,clear,False,0.1,2,1,0,142.1,63.1,4,3,62.5
18886,Intercity,2026-11-01,11,0,AWB,7,375,13,clear,False,0.54,1,1,0,204.6,62.5,4,2,62.1
18886,Intercity,2026-11-01,11,0,J,8,438,14,clear,False,0.27,0,1,0,266.7,62.1,4,1,59.3
18886,Intercity,2026-11-01,11,0,NED,9,609,16,clear,False,0.33,0,1,0,326.0,59.3,0,0,63.3
12113,Mail,2026-11-01,11,0,NED,0,0,17,clear,False,0.0,0,0,0,0.0,0.0,0,9,0.0
12113,Mail,2026-11-01,11,0,J,1,171,19,clear,False,0.58,1,0,0,0.0,0.0,6,8,3.8
12113,Mail,2026-11-01,11,0,AWB,2,234,20,clear,False,0.39,1,0,0,3.8,3.8,6,7,6.6
12113,Mail,2026-11-01,11,0,MMR,3,348,21,clear,False,1.0,1,0,0,10.4,6.6,6,6,14.9
12113,Mail,2026-11-01,11,0,NK,4,421,22,clear,False,0.15,0,0,0,25.3,14.9,6,5,16.0
12113,Mail,2026-11-01,11,0,IGP,5,472,23,clear,False,0.56,0,1,0,41.3,16.0,6,4,23.5
12113,Mail,2026-11-01,11,0,KYN,6,555,0,clear,False,0.64,2,1,0,64.8,23.5,6,3,25.0
12113,Mail,2026-11-01,11,0,TNA,7,575,0,clear,False,0.48,2,1,0,89.8,25.0,6,2,28.1
12113,Mail,2026-11-01,11,0,DR,8,600,0,clear,False,0.61,4,1,0,117.9,28.1,6,1,37.5
12113,Mail,2026-11-01,11,0,CSMT,9,609,0,clear,False,0.55,0,1,0,155.4,37.5,0,0,41.4
12127,Express,2026-11-01,11,0,CSMT,0,0,20,clear,False,0.0,0,0,0,0.0,0.0,0,5,0.0
12127,Express,2026-11-01,11,0,DR,1,9,20,clear,False,0.65,1,0,0,0.0,0.0,4,4,5.0
12127,Express,2026-11-01,11,0,TNA,2,34,21,clear,False,0.62,2,1,1,5.0,5.0,4,3,21.5
12127,Express,2026-11-01,11,0,PNVL,3,69,21,clear,False,0.71,1,1,0,26.5,21.5,4,2,31.0
12127,Express,2026-11-01,11,0,RN,4,307,0,clear,False,0.2,3,1,0,57.5,31.0,4,1,43.5
12127,Express,2026-11-01,11,0,SWV,5,495,3,clear,False,0.23,0,1,0,101.0,43.5,0,0,47.3
15616,Express,2026-11-01,11,0,SWV,0,0,15,clear,False,0.0,0,0,0,0.0,0.0,0,5,0.0
15616,Express,2026-11-01,11,0,RN,1,188,18,clear,False,0.23,1,0,0,0.0,0.0,4,4,5.8
15616,Express,2026-11-01,11,0,PNVL,2,426,21,clear,False,0.26,2,1,0,5.8,5.8,4,3,20.2
15616,Express,2026-11-01,11,0,TNA,3,461,21,clear,False,0.29,1,1,0,26.0,20.2,4,2,26.7
15616,Express,2026-11-01,11,0,DR,4,486,21,clear,False,0.51,2,1,0,52.7,26.7,4,1,40.8
15616,Express,2026-11-01,11,0,CSMT,5,495,22,clear,False,0.03,2,1,0,93.5,40.8,0,0,43.6
12832,Vande Bharat,2026-11-01,11,0,PUNE,0,0,6,clear,False,0.0,3,0,1,0.0,0.0,0,7,0.0
12832,Vande Bharat,2026-11-01,11,0,DD,1,76,7,clear,False,0.33,0,1,0,0.0,0.0,2,6,9.3
12832,Vande Bharat,2026-11-01,11,0,MMR,2,69,7,clear,False,0.15,1,0,0,9.3,9.3,2,5,12.0
12832,Vande Bharat,2026-11-01,11,0,BSL,3,252,9,clear,False,0.2,2,0,2,21.3,12.0,2,4,21.2
12832,Vande Bharat,2026-11-01,11,0,AK,4,391,11,clear,False,0.52,0,1,0,42.5,21.2,2,3,26.8
12832,Vande Bharat,2026-11-01,11,0,BD,5,470,12,clear,False,0.87,0,1,0,69.3,26.8,2,2,32.8
12832,Vande Bharat,2026-11-01,11,0,WR,6,565,13,clear,False,0.23,3,1,1,102.1,32.8,2,1,39.9
12832,Vande Bharat,2026-11-01,11,0,NGP,7,645,14,clear,False,0.6,0,1,0,142.0,39.9,0,0,43.4
13900,Superfast,2026-11-01,11,0,NGP,0,0,20,clear,False,0.0,3,0,0,0.0,0.0,0,7,0.0
13900,Superfast,2026-11-01,11,0,WR,1,80,21,clear,False,0.49,2,0,0,0.0,0.0,2,6,4.3
13900,Superfast,2026-11-01,11,0,BD,2,175,23,clear,False,0.44,2,0,0,4.3,4.3,2,5,5.1
13900,Superfast,2026-11-01,11,0,AK,3,254,0,clear,False,0.56,1,1,0,9.4,5.1,2,4,13.7
13900,Superfast,2026-11-01,11,0,BSL,4,393,1,clear,False,0.17,3,0,1,23.1,13.7,2,3,19.7
13900,Superfast,2026-11-01,11,0,MMR,5,576,4,clear,False,0.49,3,1,1,42.8,19.7,2,2,26.8
13900,Superfast,2026-11-01,11,0,DD,6,569,3,clear,False,0.63,1,1,0,69.6,26.8,2,1,58.8
13900,Superfast,2026-11-01,11,0,PUNE,7,645,4,clear,False,0.5,0,1,0,128.4,58.8,0,0,60.6
21510,Express,2026-11-01,11,0,NGP,0,0,14,clear,False,0.0,2,0,0,0.0,0.0,0,9,0.0
21510,Express,2026-11-01,11,0,WR,1,80,15,clear,False,0.27,1,0,0,0.0,0.0,4,8,1.2
21510,Express,2026-11-01,11,0,BD,2,175,16,clear,False,0.24,4,1,0,1.2,1.2,4,7,12.3
21510,Express,2026-11-01,11,0,AK,3,254,17,clear,False,0.59,1,0,0,13.5,12.3,4,6,15.4
21510,Express,2026-11-01,11,0,BSL,4,393,19,clear,False,0.92,1,1,0,28.9,15.4,4,5,24.6
21510,Express,2026-11-01,11,0,MMR,5,576,21,clear,False,0.96,0,1,0,53.5,24.6,4,4,31.5
21510,Express,2026-11-01,11,0,DD,6,569,21,clear,False,0.21,0,1,0,85.0,31.5,4,3,41.7
21510,Express,2026-11-01,11,0,PUNE,7,645,22,clear,False,0.13,1,1,0,126.7,41.7,4,2,45.8
21510,Express,2026-11-01,11,0,MRJ,8,366,18,clear,False,0.48,2,1,2,172.5,45.8,4,1,56.9
21510,Express,2026-11-01,11,0,KOP,9,319,18,clear,False,0.41,2,1,0,229.4,56.9,0,0,63.3
21209,Express,2026-11-01,11,0,KOP,0,0,10,clear,False,0.0,2,0,0,0.0,0.0,0,9,0.0
21209,Express,2026-11-01,11,0,MRJ,1,47,11,clear,False,0.7,1,0,0,0.0,0.0,4,8,7.1
21209,Express,2026-11-01,11,0,PUNE,2,326,14,clear,False,0.31,0,0,0,7.1,7.1,4,7,9.6
21209,Express,2026-11-01,11,0,DD,3,250,13,clear,False,0.12,3,0,2,16.7,9.6,4,6,24.4
21209,Express,2026-11-01,11,0,MMR,4,257,13,clear,False,0.25,1,1,0,41.1,24.4,4,5,32.5
21209,Express,2026-11-01,11,0,BSL,5,74,11,clear,False,0.96,1,1,0,73.6,32.5,4,4,45.6
21209,Express,2026-11-01,11,0,AK,6,65,11,clear,False,0.55,1,1,0,119.2,45.6,4,3,52.1
21209,Express,2026-11-01,11,0,BD,7,144,12,clear,False,0.28,1,1,0,171.3,52.1,4,2,53.4
21209,Express,2026-11-01,11,0,WR,8,239,13,clear,False,0.34,1,1,0,224.7,53.4,4,1,52.5
21209,Express,2026-11-01,11,0,NGP,9,319,14,clear,False,0.16,0,1,0,277.2,52.5,0,0,51.1
15649,Vande Bharat,2026-12-22,12,1,CSMT,0,0,14,fog,False,0.0,1,0,0,0.0,0.0,0,10,0.0
15649,Vande Bharat,2026-12-22,12,1,DR,1,9,14,fog,False,0.55,2,0,0,0.0,0.0,2,9,5.2
15649,Vande Bharat,2026-12-22,12,1,TNA,2,34,14,fog,False,0.4,0,0,0,5.2,5.2,2,8,13.3
15649,Vande Bharat,2026-12-22,12,1,KYN,3,54,14,fog,False,0.19,1,0,0,18.5,13.3,2,7,17.4
15649,Vande Bharat,2026-12-22,12,1,KJT,4,100,15,fog,False,0.34,0,1,0,35.9,17.4,2,6,29.1
15649,Vande Bharat,2026-12-22,12,1,LNL,5,128,15,fog,False,0.27,1,1,0,65.0,29.1,2,5,42.2
15649,Vande Bharat,2026-12-22,12,1,SVJR,6,190,16,fog,False,0.3,2,1,0,107.2,42.2,2,4,54.7
15649,Vande Bharat,2026-12-22,12,1,PUNE,7,192,16,fog,False,0.3,2,1,1,161.9,54.7,2,3,66.7
15649,Vande Bharat,2026-12-22,12,1,DD,8,268,17,fog,False,0.51,2,1,0,228.6,66.7,2,2,76.3
15649,Vande Bharat,2026-12-22,12,1,KWV,9,377,18,fog,False,0.58,0,1,0,304.9,76.3,2,1,90.7
15649,Vande Bharat,2026-12-22,12,1,SUR,10,455,19,fog,False,0.63,1,1,0,395.6,90.7,0,0,94.1
12988,Superfast,2026-12-22,12,1,SUR,0,0,13,fog,False,0.0,2,0,0,0.0,0.0,0,10,0.0
12988,Superfast,2026-12-22,12,1,KWV,1,78,14,fog,False,0.15,3,0,1,0.0,0.0,2,9,11.7
12988,Superfast,2026-12-22,12,1,DD,2,187,15,fog,False,0.18,1,0,0,11.7,11.7,2,8,17.1
12988,Superfast,2026-12-22,12,1,PUNE,3,263,16,fog,False,0.46,1,1,0,28.8,17.1,2,7,33.6
12988,Superfast,2026-12-22,12,1,SVJR,4,265,16,fog,False,0.31,2,1,0,62.4,33.6,2,6,39.8
12988,Superfast,2026-12-22,12,1,LNL,5,327,17,fog,False,0.59,0,1,0,102.2,39.8,2,5,54.6
12988,Superfast,2026-12-22,12,1,KJT,6,355,17,fog,False,0.42,2,1,1,156.8,54.6,2,4,65.9
12988,Superfast,2026-12-22,12,1,KYN,7,401,18,fog,False,0.63,1,1,0,222.7,65.9,2,3,74.4
12988,Superfast,2026-12-22,12,1,TNA,8,421,18,fog,False,1.0,1,1,0,297.1,74.4,2,2,87.9
12988,Superfast,2026-12-22,12,1,DR,9,446,18,fog,False,0.92,1,1,0,385.0,87.9,2,1,92.6
12988,Superfast,2026-12-22,12,1,CSMT,10,455,18,fog,False,0.56,0,1,0,477.6,92.6,0,0,95.6
22573,Superfast,2026-12-22,12,1,CSMT,0,0,8,fog,False,0.0,1,0,0,0.0,0.0,0,8,4.1
22573,Superfast,2026-12-22,12,1,DR,1,9,8,fog,False,0.66,2,0,1,4.1,4.1,2,7,17.4
22573,Superfast,2026-12-22,12,1,TNA,2,34,9,fog,False,0.68,3,1,2,21.5,17.4,2,6,41.7
22573,Superfast,2026-12-22,12,1,KYN,3,54,9,fog,False,0.31,1,1,0,63.2,41.7,2,5,55.8
22573,Superfast,2026-12-22,12,1,LNL,4,128,10,fog,False,0.85,3,1,0,119.0,55.8,2,4,68.8
22573,Superfast,2026-12-22,12,1,PUNE,5,192,11,fog,False,0.85,3,1,0,187.8,68.8,2,3,88.7
22573,Superfast,2026-12-22,12,1,MRJ,6,471,14,fog,False,0.51,2,1,2,276.5,88.7,2,2,95.1
22573,Superfast,2026-12-22,12,1,SLI,7,478,14,fog,False,0.5,1,1,0,371.6,95.1,2,1,96.7
22573,Superfast,2026-12-22,12,1,KOP,8,518,15,fog,False,0.05,1,1,0,468.3,96.7,0,0,97.0
22864,Intercity,2026-12-22,12,1,KOP,0,0,7,fog,False,0.0,0,0,0,0.0,0.0,0,8,2.0
22864,Intercity,2026-12-22,12,1,SLI,1,40,8,fog,False,0.57,1,0,0,2.0,2.0,4,7,12.9
22864,Intercity,2026-12-22,12,1,MRJ,2,47,8,fog,False,0.44,0,0,0,14.9,12.9,4,6,19.0
22864,Intercity,2026-12-22,12,1,PUNE,3,326,12,fog,False,0.53,0,1,0,33.9,19.0,4,5,32.5
22864,Intercity,2026-12-22,12,1,LNL,4,390,12,fog,False,0.33,0,1,0,66.4,32.5,4,4,38.2
22864,Intercity,2026-12-22,12,1,KYN,5,464,13,fog,False,0.32,0,1,0,104.6,38.2,4,3,43.6
22864,Intercity,2026-12-22,12,1,TNA,6,484,14,fog,False,0.44,2,1,1,148.2,43.6,4,2,58.9
22864,Intercity,2026-12-22,12,1,DR,7,509,14,fog,False,0.29,2,1,0,207.1,58.9,4,1,68.6
22864,Intercity,2026-12-22,12,1,CSMT,8,518,14,fog,False,0.49,0,1,0,275.7,68.6,0,0,76.4
14673,Express,2026-12-22,12,1,CSMT,0,0,16,fog,False,0.0,2,0,2,0.0,0.0,0,15,0.0
14673,Express,2026-12-22,12,1,DR,1,9,16,fog,False,0.48,0,1,0,0.0,0.0,4,14,19.2
14673,Express,2026-12-22,12,1,TNA,2,34,17,fog,False,0.54,0,1,0,19.2,19.2,4,13,36.1
14673,Express,2026-12-22,12,1,KYN,3,54,17,fog,False,0.43,1,1,0,55.3,36.1,4,12,48.5
14673,Express,2026-12-22,12,1,IGP,4,137,18,fog,False,0.2,2,1,0,103.8,48.5,4,11,52.6
14673,Express,2026-12-22,12,1,NK,5,188,19,fog,False,0.74,1,1,0,156.4,52.6,4,10,68.4
14673,Express,2026-12-22,12,1,MMR,6,261,19,fog,False,0.66,0,1,0,224.8,68.4,4,9,76.0
14673,Express,2026-12-22,12,1,CSN,7,328,20,fog,False,0.36,4,1,0,300.8,76.0,4,8,83.0
14673,Express,2026-12-22,12,1,JL,8,420,21,fog,False,0.66,1,1,0,383.8,83.0,4,7,87.2
14673,Express,2026-12-22,12,1,BSL,9,444,22,fog,False,0.19,4,1,1,471.0,87.2,4,6,101.4
14673,Express,2026-12-22,12,1,MKU,10,494,22,fog,False,0.4,0,1,0,572.4,101.4,4,5,101.5
14673,Express,2026-12-22,12,1,AK,11,583,23,fog,False,0.27,1,1,0,673.9,101.5,4,4,103.0
14673,Express,2026-12-22,12,1,BD,12,662,0,fog,False,0.69,2,1,1,776.9,103.0,4,3,109.2
14673,Express,2026-12-22,12,1,WR,13,757,2,fog,False,0.23,0,1,0,886.1,109.2,4,2,109.1
14673,Express,2026-12-22,12,1,NGP,14,837,3,fog,False,0.15,2,1,0,995.2,109.1,4,1,109.7
14673,Express,2026-12-22,12,1,G,15,967,4,fog,False,0.27,1,1,0,1104.9,109.7,0,0,106.9
11207,Express,2026-12-22,12,1,G,0,0,20,fog,False,0.0,0,0,0,0.0,0.0,0,15,0.0
11207,Express,2026-12-22,12,1,NGP,1,130,21,fog,False,0.32,2,0,0,0.0,0.0,4,14,6.1
11207,Express,2026-12-22,12,1,WR,2,210,22,fog,False,0.24,2,0,0,6.1,6.1,4,13,14.8
11207,Express,2026-12-22,12,1,BD,3,305,0,fog,False,0.17,2,0,0,20.9,14.8,4,12,19.3
11207,Express,2026-12-22,12,1,AK,4,384,1,fog,False,0.53,1,1,0,40.2,19.3,4,11,28.9
11207,Express,2026-12-22,12,1,MKU,5,473,2,fog,False,0.19,1,1,0,69.1,28.9,4,10,40.6
11207,Express,2026-12-22,12,1,BSL,6,523,2,fog,False,0.38,2,1,2,109.7,40.6,4,9,51.9
11207,Express,2026-12-22,12,1,JL,7,547,3,fog,False,0.22,0,1,0,161.6,51.9,4,8,60.8
11207,Express,2026-12-22,12,1,CSN,8,639,4,fog,False,0.38,1,1,0,222.4,60.8,4,7,70.0
11207,Express,2026-12-22,12,1,MMR,9,706,5,fog,False,0.27,0,1,0,292.4,70.0,4,6,74.4
11207,Express,2026-12-22,12,1,NK,10,779,6,fog,False,0.12,0,1,0,366.8,74.4,4,5,80.1
11207,Express,2026-12-22,12,1,IGP,11,830,6,fog,False,0.81,2,1,2,446.9,80.1,4,4,89.0
11207,Express,2026-12-22,12,1,KYN,12,913,7,fog,False,0.41,2,1,0,535.9,89.0,4,3,94.0
11207,Express,2026-12-22,12,1,TNA,13,933,7,fog,False,0.44,3,1,1,629.9,94.0,4,2,101.1
11207,Express,2026-12-22,12,1,DR,14,958,8,fog,False,0.5,1,1,0,731.0,101.1,4,1,105.9
11207,Express,2026-12-22,12,1,CSMT,15,967,8,fog,False,0.86,2,1,0,836.9,105.9,0,0,109.8
12524,Vande Bharat,2026-12-22,12,1,CSMT,0,0,10,fog,False,0.0,0,0,0,0.0,0.0,0,9,0.0
12524,Vande Bharat,2026-12-22,12,1,DR,1,9,10,fog,False,0.42,1,0,0,0.0,0.0,2,8,12.6
12524,Vande Bharat,2026-12-22,12,1,TNA,2,34,10,fog,False,0.46,4,0,0,12.6,12.6,2,7,24.6
12524,Vande Bharat,2026-12-22,12,1,KYN,3,54,10,fog,False,0.3,1,1,0,37.2,24.6,2,6,35.4
12524,Vande Bharat,2026-12-22,12,1,IGP,4,137,12,fog,False,0.17,0,1,0,72.6,35.4,2,5,48.2
12524,Vande Bharat,2026-12-22,12,1,NK,5,188,12,fog,False,0.34,1,1,0,120.8,48.2,2,4,56.5
12524,Vande Bharat,2026-12-22,12,1,MMR,6,261,13,fog,False,0.6,4,1,0,177.3,56.5,2,3,71.2
12524,Vande Bharat,2026-12-22,12,1,AWB,7,375,14,fog,False,0.24,2,1,0,248.5,71.2,2,2,76.9
12524,Vande Bharat,2026-12-22,12,1,J,8,438,15,fog,False,0.3,2,1,3,325.4,76.9,2,1,85.1
12524,Vande Bharat,2026-12-22,12,1,NED,9,609,17,fog,False,0.51,2,1,0,410.5,85.1,0,0,92.4
11231,Express,2026-12-22,12,1,NED,0,0,17,fog,False,0.0,0,1,0,0.0,0.0,0,9,0.0
11231,Express,2026-12-22,12,1,J,1,171,19,fog,False,0.6,3,0,1,0.0,0.0,4,8,16.1
11231,Express,2026-12-22,12,1,AWB,2,234,20,fog,False,0.76,0,1,0,16.1,16.1,4,7,34.7
11231,Express,2026-12-22,12,1,MMR,3,348,22,fog,False,0.7,1,1,0,50.8,34.7,4,6,47.5
11231,Express,2026-12-22,12,1,NK,4,421,23,fog,False,0.34,1,1,0,98.3,47.5,4,5,51.9
11231,Express,2026-12-22,12,1,IGP,5,472,23,fog,False,0.62,1,1,0,150.2,51.9,4,4,62.8
11231,Express,2026-12-22,12,1,KYN,6,555,0,fog,False,0.21,0,1,0,213.0,62.8,4,3,67.8
11231,Express,2026-12-22,12,1,TNA,7,575,0,fog,False,0.16,1,1,0,280.8,67.8,4,2,70.3
